"EntityID","fov","volume","center_x","center_y","min_x","min_y","max_x","max_y","anisotropy","transcript_count","perimeter_area_ratio","solidity","DAPI_raw","DAPI_high_pass","Cellbound2_raw","Cellbound2_high_pass","PolyT_raw","PolyT_high_pass","Cellbound3_raw","Cellbound3_high_pass","Anti-Ms-CD45RA_raw","Anti-Ms-CD45RA_high_pass","Cellbound1_raw","Cellbound1_high_pass"
26985800002100002,188,67.487715462852,1458.2102998036,151.423567443189,1456.56073902738,149.926384871157,1459.7828825983,152.854548139193,1.30645821020765,0,1.46046631292276,7,10031450,1275615.10007914,7545395,683236.219392078,8272827,1053955.55277488,1978031,190336.051113151,3646677,306526.173055617,11993880,1068208.72556859
26985800002100003,188,572.61673680135,1286.87471377771,158.958040168909,1285.17346897472,150.447039982905,1288.83927378017,167.174744104507,4.56560164212941,0,0.699506313426994,6.74990230579212,10566420,1569192.20443889,17739873,1396788.15713667,19038054,2727258.53669293,7399745,618971.980678767,23340256,1932074.18500923,31455099,2395972.8928869
26985800002100009,188,180.602862563854,1441.86263929154,152.403158616803,1439.17997851713,150.461222361017,1444.5578971236,154.525489982333,1.32596463953807,0,0.897957772023967,7,17483674,1128738.70731907,12073443,318844.847603624,17359008,1107674.65858882,3404019,121075.091312932,9552347,250153.337445954,18873810,466134.122463575
26985800002100016,188,236.305803839912,1371.76654651042,165.962027249975,1369.51624170207,162.236869720622,1374.24547492533,168.944303236545,1.45674323987805,0,0.839057756927376,6.54356995832024,9699598,165876.406201748,8454232,118069.063763648,18952192,272687.455286465,2824879,64292.1780857838,11682873,105143.473876578,13044814,147989.700396461
26985800002100017,188,211.973177770802,1450.87779348962,163.506769693117,1447.7118959462,161.462195801408,1453.90965957231,165.686223004346,1.60233431908523,1,0.852500014179796,6.84922786423257,31223309,328891.484515567,18054960,204996.11693253,27813347,281936.470488291,4834605,98919.5060398829,12042800,97753.6931167628,28441170,245079.79728796
26985800002100019,188,92.6306628138199,1286.72805443208,169.006806131588,1285.17346897472,167.341499094127,1288.28340953043,170.660892580689,1.08483836714395,0,1.22878705048282,7,1655291,362002.327768696,3140096,291942.013900474,2891644,633739.041909628,1262071,123414.927887981,4162661,442495.954936761,5789839,521870.637279398
26985800002100020,188,281.074923149115,1286.84922693197,174.95181367924,1285.17971847837,170.858800393265,1288.83956941879,179.574446948795,2.3815704583638,0,0.798739573115205,7,5935832,837055.769144189,9400986,643294.984078532,9518755,1322032.00152018,3805843,283772.453040211,12638092,1024592.47514173,16529239,1080226.42278662
26985800002100024,188,622.71944873431,1286.90440747141,188.484429047316,1285.17346897472,179.541013945203,1288.8378107754,197.635989387744,4.95813450915947,0,0.683036338895919,6.81534461320635,16439073,2244361.14946433,22592712,1699148.94724944,22818778,3130407.2722772,9334806,764341.123751312,25009069,2000434.27111509,42294692,3291274.66015816
26985800002100030,188,223.926567994225,1286.78749461377,202.514071199831,1285.17996561145,198.993469016478,1288.53223220113,206.269391350792,2.17001370188879,0,0.871681700572608,7,6956996,1009490.0993149,8072637,538141.093776083,7835168,1119225.48460646,3389957,247848.208717239,8084400,654485.021695581,10999946,722360.465715347
26985800002100031,188,630.273656138497,1303.12143158775,209.739186355358,1296.46943466479,203.245792191934,1307.95391567366,215.073984963609,2.34080039160166,0,0.592349685024979,6.1174330560688,35970572,588108.417571399,22973264,340388.054031213,51305829,785838.712790674,8333448,188991.137391459,29334041,289129.553258322,31775502,394201.832316647
